Iteration,SampleCount,S_AGE,S_AGE_Weight
56,48,2.7047555830576715,43
55,153,1.7063977903321965,141
54,71,1.7848552342906487,38
53,36,1.8501436879676734,17
52,26,1.304848407179537,4
51,123,1.4841953566683865,29
50,76,1.295174429056415,48
49,137,1.0358178575126382,84
48,155,2.130052989917836,21
47,218,1.3534070077898555,30
46,174,2.3238041664603406,7
45,43,2.283561517516297,5
44,1228,1.048498400145839,1119
43,126,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.8632313883475016,1
37,7,,
36,28,,
35,3,,
34,13,1.766899920165522,9
33,16,0.7758204270690998,4
32,12,0.19414582840182693,1
31,56,1.871644484215228,5
30,5,1.7940360451228132,1
29,9,3.4383895997922536,1
28,4,,
27,13,,
26,6,1.2918533169989548,1
25,67,,
23,3,,
19,1,,
16,1,,
