Iteration,SampleCount,S_AGE,S_AGE_Weight
56,53,3.0740707329165127,48
55,154,1.256943363388271,147
54,66,0.7762787445634691,39
53,36,0.7037014196585931,18
52,26,0.45969027388806566,5
51,118,0.4426040728863571,25
50,82,0.9163194602209533,50
49,138,0.7058750454377861,87
48,154,0.9259883511591783,23
47,217,0.7461892506222803,31
46,175,1.336103641195627,9
45,41,1.4901808544313304,5
44,1214,0.35933238020522795,1105
43,140,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.5413266514829242,1
37,7,,
36,28,,
35,3,,
34,9,1.450658173307002,5
33,20,0.9411114027021156,4
32,12,1.7624060675961326,1
31,54,0.6234653497521183,3
30,7,0.23248960401873564,1
29,9,3.9485679804697016,1
28,4,,
27,13,,
26,6,0.14743788148923187,1
25,67,,
23,3,,
19,1,,
16,1,,
