Iteration,SampleCount,S_AGE,S_AGE_Weight
56,50,2.4655661480342297,45
55,145,1.6778937851404068,135
54,79,1.3114836130584102,40
53,34,1.5211706117975186,17
52,25,1.1525971944014017,3
51,126,1.0773410983473577,31
50,81,1.1460571483571307,55
49,134,1.1200518127429382,88
48,156,1.4246201900023732,26
47,216,1.1712353117296368,33
46,171,2.3841883066113256,7
45,43,1.8364919137537954,5
44,1213,0.7715482366065782,1104
43,141,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,1,,
34,15,1.098595682883716,9
33,15,0.9049240510381293,3
32,13,1.3370374857567486,1
31,55,1.217874814860689,4
30,6,2.1414450926376922,1
29,9,5.5296520925941595,1
28,4,,
27,13,,
26,6,0.0956594859761486,1
25,67,,
23,3,,
19,1,,
16,1,,
