Iteration,SampleCount,S_AGE,S_AGE_Weight
56,54,2.1801020408163265,49
55,146,2.4635357142857144,140
54,72,3.0508603730199284,38
53,34,2.4921543153826455,15
52,29,2.5198381250190285,5
51,125,1.4910205590140797,32
50,73,2.283033760266335,48
49,141,2.499526120462072,88
48,156,2.22631677691795,26
47,215,2.3689948275501678,32
46,173,2.8761732195573533,8
45,42,3.2299011187324056,5
44,1210,1.0813459806943062,1101
43,144,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,2.8781262681937285,9
33,16,1.2398517972599212,4
32,12,0.5501963817111566,1
31,55,1.7000000000000002,4
30,6,1.4502571599777232,1
29,8,,
28,5,,
27,13,,
26,6,0.5501639367586222,1
25,67,,
23,3,,
19,1,,
16,1,,
