Iteration,SampleCount,S_AGE,S_AGE_Weight
56,52,2.046913043478261,46
55,144,2.1157214814814815,135
54,78,2.429643076923077,39
53,36,2.446506666666667,18
52,24,2.022666666666667,3
51,123,2.273014857142857,28
50,79,1.965642588,50
49,138,1.8641921705747124,87
48,158,2.3895744743703706,27
47,213,1.9291322820129033,31
46,175,2.8270153004444443,9
45,40,3.09983752,4
44,1222,1.518273381240587,1112
43,133,,
42,675,,
41,4,,
40,1,,
39,3,,
37,8,,
36,28,,
35,3,,
34,12,2.17843796268416,8
33,17,2.4142361600000006,4
32,12,0.4973679999999998,1
31,55,1.1289030752000007,4
30,6,0.9564357120000002,1
29,9,2.7648271999999996,1
28,4,,
27,13,,
26,6,0.6519984000000001,1
25,67,,
23,3,,
19,1,,
16,1,,
