Iteration,SampleCount,S_AGE,S_AGE_Weight
56,53,2.1906808510638296,47
55,138,2.4351729442970824,130
54,85,2.8634324505243645,41
53,34,2.6638471228471756,18
52,25,2.059735491064285,4
51,124,1.4957986764734121,30
50,77,2.23310118836527,50
49,138,2.3553921523087014,87
48,157,2.2870475107291623,26
47,214,2.201608780975415,31
46,173,3.197096461486232,7
45,42,2.835,4
44,1225,1.0614979077503106,1115
43,130,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,2.8741078612105535,9
33,15,0.5857722406871515,3
32,13,0.5852507817191821,1
31,55,1.8425388920742352,4
30,5,,
29,10,4.413242841545713,1
28,4,,
27,13,,
26,5,,
25,68,,
23,3,,
19,1,,
16,1,,
