Iteration,SampleCount,S_AGE,S_AGE_Weight
56,52,2.1645744680851067,47
55,148,2.483884236453202,140
54,70,3.0569444444444445,36
53,40,2.610635421303145,19
52,25,2.485206416048151,5
51,123,1.4258311414302332,30
50,77,2.1134367420039575,50
49,135,2.4894214991892882,84
48,159,2.2544141459638833,25
47,213,2.4578874403182285,29
46,177,2.5862295994947213,9
45,41,3.2279036206850193,5
44,1215,1.0893169894308414,1106
43,139,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,2.8773515696519305,9
33,16,1.243328588897432,4
32,12,0.5571417139232597,1
31,56,1.7513954050540033,5
30,5,1.4438909262060964,1
29,9,4.440471677969684,1
28,4,,
27,13,,
26,6,0.557814297031177,1
25,67,,
23,3,,
19,1,,
16,1,,
