Iteration,SampleCount,S_AGE,S_AGE_Weight
56,54,2.6178479396501215,49
55,143,1.572688961492804,137
54,79,1.2010697206657803,42
53,34,1.5676480610810408,19
52,24,1.3280372726214174,4
51,125,1.012041538868427,31
50,79,1.274475841384054,53
49,133,1.1155556932585449,85
48,159,1.386457867361766,26
47,216,1.1390402044768861,33
46,172,1.7921106254592494,8
45,41,2.2185021729113132,4
44,1206,0.7589023868160604,1096
43,149,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,0.9246121769131882,7
33,18,1.2236612884151314,4
32,12,1.5704054363321438,1
31,56,1.146842475202728,5
30,5,0.7705485893551467,1
29,9,6.350297937480401,1
28,4,,
27,13,,
26,6,0.13688177417358105,1
25,67,,
23,3,,
19,1,,
16,1,,
