Iteration,SampleCount,S_AGE,S_AGE_Weight
56,53,2.9926202533394637,48
55,147,2.5223847053412367,140
54,69,1.84186774987087,35
53,41,1.3613668018550988,19
52,25,0.799490882334308,5
51,122,1.5300116610143095,29
50,79,1.733282208907225,51
49,139,1.204905172812743,89
48,157,1.6262798817857769,28
47,215,1.043600715492044,34
46,171,2.6738481773125455,8
45,42,1.2975564530343349,5
44,1203,1.0310381146420127,1094
43,151,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,1.148032379892125,9
33,16,1.6447492858064126,4
32,12,5.386800594052391,1
31,56,1.6941370058006453,5
30,5,1.1833975480273509,1
29,9,6.495113925187427,1
28,4,,
27,13,,
26,6,2.4413484669386314,1
25,67,,
23,3,,
19,1,,
16,1,,
