Iteration,SampleCount,S_AGE,S_AGE_Weight
56,49,2.1422727272727276,44
55,148,2.4308228268082286,137
54,78,3.0506664664183587,41
53,34,2.611270854150962,18
52,25,2.5292920417318148,4
51,122,1.5265280718349434,28
50,83,2.1735848648006684,54
49,138,2.4360513152820547,91
48,154,2.1523984419966524,27
47,215,2.2993105009964427,33
46,171,3.2022815681803043,7
45,42,3.1134656752535355,4
44,1209,1.0616643154224639,1099
43,146,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,8,,
36,28,,
35,3,,
34,13,2.8751000282396717,9
33,16,1.2534333456915852,4
32,12,0.5773272470742015,1
31,56,1.7554313183331334,5
30,5,1.423740699104421,1
29,9,4.420327301688885,1
28,4,,
27,13,,
26,6,0.5779528394352651,1
25,67,,
23,3,,
19,1,,
16,1,,
