Iteration,SampleCount,S_AGE,S_AGE_Weight
56,50,2.390314199363878,45
55,152,1.5018981456048852,142
54,71,1.1507914603008966,39
53,35,1.5202666558388875,17
52,27,0.7630136483645906,5
51,121,0.8968437201773651,28
50,79,1.0819195445315737,50
49,142,0.9092265311641935,91
48,152,1.4593525622144765,25
47,214,0.9270883499255096,30
46,176,2.1302544399596877,9
45,41,1.4481727395778168,5
44,1212,0.7037147446607631,1103
43,142,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,13,1.3761412601466287,8
33,16,1.0871715097470014,3
32,13,2.58470653597563,1
31,56,1.5567078862599442,5
30,4,,
29,10,2.147032759301116,1
28,4,,
27,13,,
26,6,0.25485989014452226,1
25,67,,
23,3,,
19,1,,
16,1,,
