Iteration,SampleCount,S_AGE,S_AGE_Weight
56,50,2.4025303027044287,45
55,150,1.9207488997474298,140
54,73,1.4435719652288497,39
53,36,1.5193627852866252,18
52,26,1.25999167382019,5
51,121,1.3480685090458695,28
50,82,1.3319744651056036,53
49,138,1.1195352412129131,90
48,153,1.801947671553223,25
47,217,1.1122726754192966,33
46,170,2.4998616762458528,6
45,44,1.59469055965355,5
44,1209,0.8367490584143085,1100
43,145,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,0.9434723594922876,8
33,17,0.8295445145503206,4
32,12,0.8441968271365212,1
31,55,1.6875451801946837,4
30,6,1.1562430749110932,1
29,9,2.2774476266893524,1
28,4,,
27,13,,
26,6,0.2092252020178904,1
25,67,,
23,3,,
19,1,,
16,1,,
