Iteration,SampleCount,S_AGE,S_AGE_Weight
56,54,2.8194771762667092,48
55,145,1.684919365472246,138
54,72,1.143059296370085,36
53,37,1.527653018702234,16
52,28,1.068351513643435,5
51,123,1.1081354127279481,30
50,79,1.138606854486186,52
49,140,1.1332715271974763,91
48,153,1.2924901335576757,26
47,217,1.1654309535103788,34
46,172,2.0429334227267733,9
45,40,1.899025175561174,4
44,1209,0.8699381732971601,1099
43,146,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,0.9724834056513265,9
33,15,0.85125086503069,3
32,13,1.5425810513096843,1
31,55,1.0234793886267848,4
30,6,0.9051254965018183,1
29,9,6.5507639337346335,1
28,4,,
27,13,,
26,6,0.507885051391237,1
25,67,,
23,3,,
19,1,,
16,1,,
