Iteration,SampleCount,S_AGE,S_AGE_Weight
56,52,3.2172698563260353,47
55,149,2.7439717339363927,141
54,70,11.130916225749093,37
53,38,3.369689321253035,18
52,26,1.7180846668243406,5
51,121,12.558953403413296,28
50,80,12851658754.371803,51
49,131,1732.6528140588193,81
48,161,2850.6346768466938,24
47,217,7555.92419382714,32
46,173,156669.39026732577,8
45,41,1292155.0333637958,4
44,1221,58835.5070219544,1111
43,134,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,96403.71810997238,8
33,17,47648.70854669616,4
32,12,113285.15137705913,1
31,55,119968.89011830017,4
30,6,113601.07232037424,1
29,9,101276.13068632371,1
28,4,,
27,13,,
26,6,30016.8944603793,1
25,67,,
23,3,,
19,1,,
16,1,,
