Iteration,SampleCount,S_AGE,S_AGE_Weight
56,53,3.037732535922169,46
55,146,1.8715170169664086,137
54,74,1.2358750440825501,37
53,36,1.609915004252584,16
52,24,0.8908344382583913,1
51,123,1.5040790666261648,26
50,84,1.379003522116677,53
49,139,1.1263150381883034,91
48,152,1.7948214935351032,25
47,215,1.0731515580137332,31
46,175,2.044221597896713,9
45,40,1.630863507858889,4
44,1224,0.7621624470176436,1114
43,131,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,10,1.3870832270329345,6
33,19,0.9311128519774825,4
32,12,0.6641514751281496,1
31,56,1.3789558945550253,5
30,5,0.7859699281398784,1
29,9,2.13415718157459,1
28,4,,
27,13,,
26,6,0.027649483871622138,1
25,67,,
23,3,,
19,1,,
16,1,,
