Iteration,SampleCount,S_AGE,S_AGE_Weight
56,51,3.429782608695652,46
55,149,1.3822857142857143,140
54,72,0.908421052631579,38
53,37,1.6494444444444445,18
52,25,0.8999999999999997,4
51,122,0.8857142857142857,28
50,84,1.0756727163636361,55
49,132,0.6427674418604651,86
48,157,1.7417200000000002,25
47,217,0.6932727272727274,33
46,172,1.3026250000000006,8
45,41,0.18325000000000047,4
44,1213,0.7675512237534,1103
43,142,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,11,1.8185714285714285,7
33,18,0.9875000000000005,4
32,12,0.5999999999999996,1
31,56,0.6239999999999996,5
30,5,0.0,1
29,8,,
28,5,,
27,13,,
26,6,1.4999999999999996,1
25,67,,
23,3,,
19,1,,
16,1,,
