Iteration,SampleCount,S_AGE,S_AGE_Weight
56,52,1.8418813806451335,46
55,147,1.5231437826509613,138
54,74,1.205651634364214,38
53,35,1.2600008901511546,16
52,27,1.2269929861003441,4
51,124,0.6856213647045568,30
50,77,1.049324680895387,50
49,139,1.1419666695211559,88
48,158,1.7827790432112416,28
47,212,0.8832769297113456,31
46,174,2.0941307593549063,8
45,42,1.161134827316148,5
44,1216,0.5725672593549038,1107
43,138,,
42,675,,
41,4,,
40,1,,
39,2,,
38,2,0.7263002310907947,1
37,7,,
36,28,,
35,3,,
34,12,1.4848184352338083,8
33,16,1.1895302994971089,3
32,13,2.4331352198893357,1
31,56,0.8882675829485168,5
30,5,0.6530069367529889,1
29,9,1.4852580871714847,1
28,4,,
27,13,,
26,6,1.4636260134920729,1
25,67,,
23,3,,
19,1,,
16,1,,
