Iteration,SampleCount,S_AGE,S_AGE_Weight
56,50,2.9441889091739366,45
55,147,2.3295389104846125,137
54,72,2.173136551047747,35
53,39,2.2850051736572534,17
52,27,2.041186576623398,5
51,121,1.6364926332019343,28
50,81,1.2660009436894961,52
49,132,1.3929883389775863,83
48,162,2.1015824038545494,27
47,213,1.1682580908134148,31
46,173,2.6708957088060616,7
45,43,2.0277520338647133,5
44,1225,0.7212533636358618,1116
43,129,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,12,1.553799736898469,8
33,15,0.2850516677233177,2
32,14,0.022064204645703356,1
31,56,1.0119945078514536,5
30,5,1.8941002968316836,1
29,9,4.534249650086945,1
28,4,,
27,13,,
26,6,0.6513171267193298,1
25,67,,
23,3,,
19,1,,
16,1,,
