Iteration,SampleCount,S_AGE,S_AGE_Weight
56,52,3.4272340425531915,47
55,149,1.6724822695035462,141
54,72,0.9485897435897436,39
53,35,0.9276470588235294,17
52,26,0.5574999999999997,4
51,121,0.797777777777778,27
50,80,0.626879992,50
49,142,0.9940879120879121,91
48,150,1.4173913043478263,23
47,215,0.5950689655172413,29
46,175,0.9,7
45,43,0.1807999999999999,5
44,1216,0.9932574525745258,1107
43,138,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,2,,
34,14,2.9111110888888883,9
33,15,3.3499999999999996,3
32,13,3.0,1
31,56,0.4576000000000001,5
30,5,2.5,1
29,9,0.11699999999999999,1
28,4,,
27,13,,
26,6,0.5999999999999996,1
25,67,,
23,3,,
19,1,,
16,1,,
