Iteration,SampleCount,S_AGE,S_AGE_Weight
56,55,3.1433142990575034,47
55,149,1.323971421562537,141
54,70,1.216390762208807,37
53,35,0.876193792895842,15
52,29,0.8458595862268625,5
51,119,0.4769261253901054,26
50,85,1.159090105560303,54
49,136,1.0017949910317412,89
48,153,0.5843545477070564,24
47,217,0.8215511043370227,32
46,174,1.9307025274041647,9
45,40,0.6958286071632165,4
44,1220,0.5547504464508121,1110
43,135,,
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,8,,
36,28,,
35,3,,
34,10,0.524170378524022,6
33,19,1.3132065775144768,4
32,12,1.2581677215543152,1
31,56,0.7846821573566316,5
30,5,1.2874548112279918,1
29,9,1.0394227291731797,1
28,4,,
27,13,,
26,6,1.567362445037337,1
25,67,,
23,3,,
19,1,,
16,1,,
