Iteration,SampleCount,S_AGE,S_AGE_Weight
56,51,2.88944312995312,46
55,140,1.268513908160546,131
54,79,0.8500129464564933,36
53,37,0.6477764174125331,16
52,28,0.5197982368710634,5
51,123,0.9243034026368467,30
50,83,1.2539151519639196,56
49,136,0.812533907075301,91
48,152,0.9021358210425507,25
47,211,0.8828360195072672,27
46,178,1.7503012709131998,8
45,42,0.8457533013141627,5
44,1218,0.3942262014374007,1109
43,136,,
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,0.9262460804000507,9
33,16,1.0244045825299901,4
32,12,0.4877162550714971,1
31,56,0.8460874033622768,5
30,5,1.3453899708363828,1
29,9,3.516105766908385,1
28,4,,
27,13,,
26,6,2.910450301868248,1
25,67,,
23,3,,
19,1,,
16,1,,
