Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,,
55,143,13.301058921731341,137
54,82,98.22217934350776,61
53,32,31.22561713904675,30
52,27,21.935353211037608,24
51,117,388.7537466659196,116
50,80,30347237130.5691,71
49,139,177779.80970361124,128
48,150,1283470.9551714202,136
47,208,769047.6288101902,195
46,171,141299.60584194036,151
45,53,251835.24647136507,33
44,1220,548158.0152842924,1212
43,141,136525.9593921672,10
42,611,59262.0362187165,610
41,69,168219.44887170676,4
40.0,1.0,,
39.0,1.0,,
38,3,200438.58221731428,1
37,6,,
36,23,76332.92036461888,22
35,9,466753.8838755554,3
34,13,,
33,14,,
32,12,96944.5867348794,9
31,53,130731.67646950239,51
30,9,220703.49961051147,4
29,10,137371.02416979245,9
28,4,,
27,8,123815.832365703,7
26,10,125542.70031066582,4
25,66,26970.63269857448,17
24.0,2.0,,
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
