Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,53,1.5076279787179843,52
55,148,0.3187688939965698,144
54,74,0.16352950291708593,60
53,35,0.15474805257700977,32
52,25,0.15076842787051264,24
51,110,0.14662346422827038,109
50,88,0.2699775854041907,72
49,140,0.21449108070301875,130
48,148,0.14728571359307976,136
47,208,0.1022486676035434,195
46,174,0.080577589124661,154
45,51,0.0751562797084719,34
44,1211,0.07587790335880239,1204
43,150,0.07385422175154314,11
42,603,,
41,76,0.21550801638884642,4
40,1,,
39,3,,
38,1,,
37,6,0.186602116523237,1
36,27,0.22222908579437356,26
35,5,,
34,13,,
33,16,,
32,12,0.09313745324379274,2
31,53,0.0575075990429221,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
