Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,52,1.4463269047407246,51
55,145,0.9051383532632924,140
54,76,0.7931600232891207,58
53,34,0.8917789777667887,29
52,29,0.9295178523574825,25
51,110,,
50,82,1.0937272455957168,67
49,145,0.849525451190628,130
48,150,0.8218046163642745,138
47,205,0.8075030442310877,194
46,170,0.7970463113237221,149
45,56,0.7862365559436998,34
44,1216,0.743928358193635,1209
43,144,0.8703263600000628,10
42,615,0.8150333719998218,614
41,65,0.8132977435037456,4
40,1,,
39,3,,
38,1,,
37,7,0.7967513250155627,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.5830231875567784,2
31,53,0.7742996129983633,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
