Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,52,,
55,146,0.2203980797253521,142
54,73,0.05406835140350879,57
53,36,0.04021163834,30
52,25,0.05686354314545461,22
51,119,0.06235402830172413,116
50,85,0.03882305167105261,76
49,137,0.05797098835114503,131
48,145,0.06779017834701492,134
47,212,0.01157376655837562,197
46,168,0.00946718278133332,150
45,57,0.004648168558333331,36
44,1198,0.010158011986588432,1193
43,161,0.000917083272727259,11
42,612,,
41,67,0.007642700000000113,4
40,1,,
39,3,,
38,1,,
37,7,0.0005397999999998682,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.0,2
31,55,0.0004724325000000134,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
