Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,48,,
55,147,0.25070282013903306,139
54,74,0.17427444698547215,55
53,37,0.19503692240162526,29
52,24,0.21233919688077688,20
51,120,0.15782853586371723,115
50,83,0.21262280513426268,73
49,138,0.17376398403682594,129
48,145,0.21205493055269659,132
47,208,0.12200555413658891,191
46,181,0.1018811487667228,157
45,50,0.1088227621572946,36
44,1224,0.10954817805093468,1219
43,134,0.08964411805072986,10
42,608,0.1349595199285365,607
41,71,0.19120666190574478,3
40,2,,
39,3,,
38,1,,
37,7,0.28697660640773914,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.1446754305341409,2
31,51,0.07853946513006801,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
