Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,51,,
55,149,0.8136400514356291,144
54,72,0.8090925427111684,58
53,33,0.80244283463378,28
52,30,0.8910459171692089,25
51,116,,
50,81,0.7974225214883023,72
49,131,0.8127863476159563,121
48,156,0.8006221566215427,135
47,204,0.8960773425403572,190
46,183,0.8596115655029792,158
45,49,0.8449962347523498,36
44,1215,0.7451973269472287,1210
43,143,0.993003849676604,10
42,608,0.8938947324128103,607
41,71,0.5217312970487215,3
40,2,,
39,3,,
38,1,,
37,7,0.9218663299241792,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.3172895549408794,2
31,53,0.9264877712844578,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
