Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,51,,
55,143,0.1942719150942029,138
54,74,0.07436565011111115,54
53,41,0.048248765006250034,32
52,25,0.06728350400833338,24
51,114,0.05243377857522124,113
50,83,0.03319118981690138,71
49,143,0.05725057524689395,132
48,143,0.0798526357584962,133
47,207,0.024381721836125636,191
46,175,0.014252073834370861,151
45,56,0.0038350356055555216,36
44,1214,0.017506431401985118,1209
43,144,0.001985663799999976,10
42,616,0.012500359081300807,615
41,63,0.006184500000000259,3
40,2,,
39,3,,
38,1,,
37,6,0.029624300000000048,1
36,26,0.001984509919999997,25
35,6,,
34,13,,
33,16,,
32,11,0.0,1
31,56,0.001068165714285693,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
