Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,54,1.2201726737987966,53
55,151,0.7838497663809075,148
54,66,0.7266860786459536,56
53,39,0.6719690591383333,32
52,21,0.8104659982209907,20
51,108,0.6318645819071962,103
50,96,0.7593906292998406,74
49,138,0.8061410213071211,130
48,154,0.7263914767125376,142
47,200,0.8198025275482314,193
46,173,0.7232772406253145,151
45,55,0.6703416949543471,35
44,1221,0.5583215734969419,1215
43,139,0.8883305510792555,11
42,599,,
41,80,0.36046685294346614,4
40,1,,
39,3,,
38,1,,
37,6,0.7522387133880688,1
36,26,0.6773622882801601,25
35,6,,
34,13,,
33,16,,
32,12,0.24843003883090953,2
31,52,0.7638322040890785,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
