Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,53,1.3485277600735108,52
55,150,0.8848614037018053,146
54,71,0.7752961740882882,59
53,36,0.9177599477889911,32
52,24,0.9345880807683355,23
51,121,0.7434864184573584,119
50,79,1.0718583570880833,73
49,130,0.8545816161402902,121
48,153,0.7274174626788514,132
47,209,0.7156784254785059,192
46,173,0.6997579595769697,150
45,56,0.7067119094513148,35
44,1210,0.6326006363497426,1204
43,148,0.7554573241469732,9
42,623,0.6534686286376347,621
41,58,0.5242996896357837,4
40,1,,
39,3,,
38,1,,
37,6,0.5031381910903165,1
36,23,0.7231368938347156,22
35,9,,
34,13,,
33,16,,
32,12,0.32157049590902376,2
31,49,0.646411174784723,22
30,12,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
