Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,50,,
55,144,2.187102804130591,138
54,79,0.4002056500834646,59
53,33,0.2810689701565089,29
52,27,0.24762297806227732,23
51,115,0.3285108560682748,113
50,89,0.4092651534685202,77
49,136,0.5022164371927095,131
48,146,0.28953973235040564,135
47,203,0.30060936787264786,189
46,182,0.15930248732696903,156
45,48,0.2281920130352959,33
44,1212,0.18022584970299318,1204
43,150,0.18797573959602615,11
42,610,,
41,69,1.015714788114722,4
40,1,,
39,3,,
38,1,,
37,7,0.0492211824865697,2
36,27,,
35,4,,
34,13,,
33,16,,
32,11,0.21333108109123478,1
31,54,0.11042338973452179,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
