Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,48,0.8749856662117965,47
55,155,0.6583066687055098,146
54,70,2.300243278721523,58
53,34,0.25598007835009606,29
52,27,0.9969567228163836,23
51,115,0.5171049797280586,113
50,91,47905902.63996231,79
49,132,7.521870649668863,129
48,150,1.2184589775070833,137
47,199,0.1781050131334837,187
46,182,1.313480213304432,154
45,57,1.1068164244539198,40
44,1210,0.948098147012041,1209
43,143,0.8952497073975663,9
42,603,0.8344004268835404,601
41,78,0.9560245289332348,4
40,1,,
39,3,,
38,1,,
37,7,0.4307662237305998,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,1.0487257144052617,1
31,53,0.9426293993501379,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
