Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,51,,
55,144,0.28226206543946325,139
54,73,0.1664684798169799,54
53,41,0.21172395228190538,32
52,21,0.13483271887854903,20
51,118,0.17871883792775517,113
50,88,0.21843001607763815,76
49,133,0.17208011926708605,127
48,154,0.21612768782288877,139
47,199,0.12366666747693418,189
46,178,0.10315921006596444,152
45,57,0.1135714492373375,38
44,1220,0.11163157209792758,1217
43,135,0.07491469384744556,9
42,603,0.13312646194550584,601
41,78,0.23792798552181071,4
40,1,,
39,3,,
38,1,,
37,7,0.29109469843665814,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.14032361938113702,2
31,53,0.08715804446291017,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
