Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,51,,
55,148,1.3192035428741258,143
54,74,1.2788252195202148,59
53,34,1.3124303123651597,30
52,25,1.6717031591950005,22
51,115,1.203003378676518,112
50,89,1.2578234322094,76
49,128,1.2638591987373045,122
48,152,1.514162823614194,132
47,212,1.1892046926579978,195
46,172,1.3305582880866267,152
45,57,1.0316320974618747,38
44,1209,0.867762038581716,1206
43,148,0.803632571379841,11
42,614,,
41,65,1.1670327939573952,4
40,1,,
39,3,,
38,1,,
37,7,0.2211280200395218,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,1.2104097762828254,2
31,50,0.8059894176531119,23
30,11,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
