Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,52,1.583004883019608,51
55,141,1.3239032040233487,136
54,81,1.284473305207972,59
53,33,1.2109724897512555,29
52,26,1.7189449778505648,22
51,116,1.175730810233795,113
50,85,1.2689914214061802,73
49,139,1.287266929274821,130
48,147,1.4909498877284557,135
47,207,1.1701127686673543,193
46,176,1.281049824861961,154
45,53,1.0080194010222678,36
44,1217,0.8633231330500025,1212
43,141,0.8315207616385563,10
42,606,0.7726625492896744,605
41,74,1.1617121323771407,4
40,1,,
39,3,,
38,1,,
37,7,0.22644223037809041,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,1.2054347801275909,2
31,53,0.7050875849183457,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
