Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,55,1.8019783967777778,54
55,144,1.3054204454938967,142
54,74,1.282446359324273,58
53,35,1.2563254648326694,30
52,25,1.3506066388138749,22
51,112,1.228631272049707,109
50,92,1.2481654078122162,76
49,131,1.3229431254807191,125
48,150,1.5623795420254978,133
47,209,1.238244332067598,193
46,172,1.3415109590328662,150
45,59,1.055828291171627,38
44,1208,0.9036974012885337,1205
43,148,0.838199354179886,10
42,617,0.7825770484050683,616
41,62,1.1347414792272978,3
40,2,,
39,3,,
38,1,,
37,7,0.253036529516693,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,1.1792868235739473,2
31,52,0.7817289679249214,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
