Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,54,1.1533884243367452,53
55,145,0.31016868991043756,142
54,71,0.1629017959854958,55
53,37,0.18408001188296172,29
52,27,0.16238222067984076,23
51,116,0.17069994961980484,114
50,86,0.18066904197021513,75
49,141,0.17940166411794237,134
48,141,0.2225423827940177,133
47,209,0.11719620736103123,193
46,175,0.1153896223211813,153
45,56,0.09676960447306664,38
44,1203,0.1050039175954064,1200
43,153,0.09611717269847593,10
42,611,0.12932661101604528,610
41,69,0.23294146709216956,4
40,1,,
39,3,,
38,1,,
37,7,0.2910012859687229,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.12879595102172336,2
31,49,0.08463601410275222,22
30,12,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
