Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,54,1.1008234289643124,52
55,152,0.3052797410451728,148
54,70,0.1649650018001688,60
53,31,0.18775087538580987,28
52,26,0.16084054729752695,21
51,116,0.19393767133196008,112
50,86,0.22880381766784846,73
49,138,0.17099462642003008,129
48,151,0.21982846809477122,138
47,200,0.1261410448172041,189
46,182,0.12007199521385716,156
45,51,0.11595862124862774,36
44,1212,0.11035755012527965,1207
43,146,0.09628733155131906,10
42,602,0.1337097853115303,601
41,78,0.25667743364531037,4
40,1,,
39,3,,
38,1,,
37,7,0.2890187267718036,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.14204757185251382,2
31,53,0.08051807169504892,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
