Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,50,,
55,145,0.9008722430628675,139
54,76,0.8052962854421029,57
53,37,0.8976848669716843,31
52,25,0.8981951783719697,23
51,116,0.7998841403477763,114
50,79,1.0684714370760615,68
49,137,0.8294261506350665,123
48,150,0.7652297769078842,131
47,213,0.7141482527699056,195
46,179,0.728453319249484,159
45,46,0.7624844054616876,34
44,1218,0.7300346248283687,1211
43,141,0.8164026640939708,9
42,617,0.7924839881715993,615
41,64,0.7585442962249512,4
40,1,,
39,3,,
38,1,,
37,7,0.7630400907201123,2
36,23,,
35,8,,
34,13,,
33,16,,
32,11,0.7089038912706807,1
31,57,0.7619781360585869,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
