Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,51,1.4582128776716081,49
55,147,0.24535523830080458,140
54,75,0.13562236618152215,57
53,33,0.2683364066575577,27
52,28,0.256636871832544,22
51,114,0.13008186595026122,111
50,84,0.3164334319717009,70
49,138,0.16007766803193269,126
48,154,0.1427289697817655,138
47,206,0.13372438994604915,195
46,171,0.09594833512396031,151
45,58,0.08684614369888534,38
44,1209,0.08018144332853692,1206
43,145,0.06406272143099853,8
42,624,0.07787094741738991,621
41,57,0.6141977176638735,3
40,2,,
39,3,,
38,1,,
37,7,0.10657963304709606,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.17469305724950113,2
31,55,0.045471942006039316,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
