Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,49,1.1368650441700987,48
55,153,0.24811429316026637,145
54,67,0.4116775734375862,54
53,38,0.20425306826944953,29
52,28,0.30689835243487057,24
51,117,0.3072593632206846,116
50,87,0.3583487700945556,78
49,134,0.3628369253994663,130
48,146,0.36968642094427,134
47,210,0.2364663804548962,195
46,172,0.2431640599392593,152
45,60,0.2808202084873796,41
44,1193,,
43,161,0.17002122477690737,11
42,611,,
41,67,0.37210196639765175,3
40,2,,
39,3,,
38,1,,
37,6,0.16036521246900914,1
36,27,0.2865721481134612,26
35,5,,
34,13,,
33,16,,
32,12,0.2068013700293665,2
31,53,0.07922236934316736,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
