Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,49,0.9356949710742866,48
55,153,0.6129589633765405,145
54,70,3.6741073509693507,57
53,37,0.37815818417025276,31
52,23,1.6868532663565083,21
51,120,1.784284149330496,116
50,80,49828827.222193934,71
49,138,89.55504915260349,127
48,145,506.1926651621535,130
47,213,361.4685225988032,194
46,175,257875.79505798646,154
45,54,2185179.661901163,37
44,1217,94391316.17060833,1213
43,141,10387903.612701183,11
42,604,,
41,75,7911088670.119878,4
40,1,,
39,3,,
38,1,,
37,7,1731828.382630585,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,81851682.48090939,2
31,53,17428198.615950063,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
