Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,49,,
55,151,0.8302274240204566,144
54,73,0.8150771929861335,59
53,32,0.7706655222347901,28
52,29,0.9698845595861261,24
51,118,0.6888354590378801,117
50,84,0.7590633506104176,76
49,141,0.8012055422100128,135
48,139,0.8001579365916004,132
47,208,0.9068954263279876,191
46,171,0.8677901463671673,147
45,63,0.8757257079766136,39
44,1207,0.7977291892624256,1205
43,148,0.9998209232977314,10
42,604,0.9048561128306098,603
41,76,0.5680364702011175,4
40,1,,
39,3,,
38,1,,
37,7,0.9491645319144012,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.3946439965456596,2
31,53,0.93802983202323,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
