Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,46,,
55,155,0.745664214474977,145
54,73,3.0791250070199747,60
53,35,0.157602454053405,32
52,25,0.2928818000954764,24
51,116,0.9020441026141639,115
50,80,261260371.38430485,70
49,142,42.36141002154285,130
48,146,1.3733820203518192,134
47,210,0.2928360179269833,195
46,171,0.3857380591795056,151
45,57,0.5547057630306998,37
44,1203,0.6121963262144308,1199
43,152,0.7475026813190708,8
42,616,0.5392883238298187,613
41,65,1.0199855246304284,3
40,2,,
39,3,,
38,1,,
37,7,0.13786036439386973,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,1.3894507433428074,1
31,55,0.6009869128232387,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
