Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,47,,
55,148,0.2457062869856115,139
54,75,0.05840311839285716,56
53,32,0.047279666608000044,25
52,31,0.041249075417391326,23
51,119,0.06348860983760686,117
50,82,0.03292382793513511,74
49,138,0.0445589573737692,130
48,149,0.07111317276992701,137
47,207,0.015404580581025624,195
46,178,0.01461811181765823,158
45,51,0.004906836647368385,38
44,1214,0.008775818139719246,1211
43,143,0.021125970363636365,11
42,597,,
41,82,0.01948200000000022,4
40,1,,
39,3,,
38,1,,
37,7,0.0015729499999999064,2
36,27,,
35,4,,
34,13,,
33,16,,
32,12,0.0,2
31,52,0.00027968400000002005,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
