Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,49,,
55,145,0.4644731352476135,138
54,79,0.343088114502289,59
53,31,0.42715686201604525,27
52,30,0.319584442311207,24
51,116,0.33470147910281556,115
50,82,1.0327861717352909,72
49,141,0.3717532799963118,131
48,143,0.31272037093337407,132
47,216,0.2072812520120871,199
46,167,0.21227505202467842,151
45,54,0.22180297428009693,34
44,1212,0.2226840277438807,1205
43,147,0.21479381649376775,9
42,614,0.23596647266277576,612
41,67,0.25760566776108296,4
40,1,,
39,3,,
38,1,,
37,7,0.08205738559416298,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.22968198076799395,2
31,55,0.06021150483686527,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
