Iteration,SampleCount,S_LUMINOSITY,S_LUMINOSITY_Weight
56,47,0.9755030042395598,46
55,147,0.7404912069685925,137
54,82,5.079828761757531,61
53,33,0.8037045251662224,31
52,24,0.35017531281037123,22
51,116,1.0796955908649308,113
50,84,185005981.78510156,72
49,136,22.600781281033868,126
48,146,199.14629199378615,130
47,210,58.38535204756385,191
46,180,102.0897154578068,156
45,50,28.904552400062194,35
44,1225,3.644857715369162,1219
43,131,50.50702917560859,7
42,617,52.01068738491439,613
41,66,13.766169048303649,4
40,1,,
39,3,,
38,1,,
37,7,63.236775054597864,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,6.548404693436833,2
31,53,3.915206563935461,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
