Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,48,,
55,151,0.09075099298203523,143
54,73,0.07670987200385704,58
53,36,0.08404106814459734,31
52,25,0.08360356363469665,23
51,112,0.052394231209585744,110
50,88,0.11527902489285315,73
49,143,0.0916552365673441,107
48,146,0.1019252756480318,84
47,206,0.0520899331479119,191
46,178,0.05390644060149951,150
45,49,0.04999928601224442,33
44,1214,0.039871624705931176,1209
43,145,0.028023096017017,11
42,601,,
41,78,0.22010285926537948,4
40,1,,
39,3,,
38,1,,
37,7,,
36,21,,
35,10,0.03608321874277526,2
34,11,0.6168698176466945,7
33,18,0.618251738106135,4
32,12,0.43669691741132666,10
31,52,0.02400783841601757,27
30,9,,
29,9,0.170410675739762,6
28,4,,
27,13,0.27041282594630206,5
26,6,,
25,67,0.11979242603538028,3
23,3,,
19,1,,
16,1,,
