Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,54,0.4006965829155558,53
55,145,0.062323374563362226,142
54,72,0.04058805678143403,56
53,37,0.04384352499003216,30
52,27,0.09876452225243613,24
51,119,0.040774227598990125,118
50,78,0.04192462086641934,71
49,142,0.05151507520591212,104
48,155,0.08102239456987012,90
47,192,0.05123108241165435,183
46,183,0.04784794352919596,147
45,54,0.05462818882315662,35
44,1201,0.03493915288910829,1198
43,156,0.03282959863582074,11
42,610,,
41,69,0.005445774946831072,4
39,4,0.0683639317344723,3
38,1,,
37,6,,
36,26,0.05604361759756986,25
35,6,0.08354156407020197,2
34,13,0.38993560746369405,9
33,16,0.610041860070542,4
32,9,0.5748179852095762,7
31,57,0.03279837345735974,29
30,7,,
29,8,0.14600795370857111,5
28,5,,
27,13,0.24505430295729203,5
26,6,,
25,66,0.19871296903402724,2
24,1,,
23,3,,
19,1,,
16,1,,
