Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,50,,
55,138,0.3585832126722261,132
54,83,0.33112867565331017,57
53,35,0.4001681745574137,29
52,25,0.3954708191759408,21
51,117,0.22360608427085757,113
50,87,0.2194888505882103,75
49,141,0.22388164601201746,107
48,148,0.2448951449393442,86
47,197,0.2912760916814236,184
46,181,0.2730000855483835,146
45,55,0.22065089412170744,35
44,1219,0.14512669301136832,1216
43,136,0.20917267667693484,9
42,607,0.16980144618805812,605
41,73,0.07728415973186024,3
40,2,0.3522911919929839,1
39,3,,
38,1,,
37,7,,
36,28,,
35,3,0.3199474061812684,2
34,11,0.5083589213894628,7
33,18,0.5960047423376263,4
32,12,0.47066879356342917,10
31,54,0.14352035696825974,29
30,7,,
29,8,0.2066074912738854,5
28,5,,
27,13,0.37640251200499,5
26,6,,
25,67,0.18933520958745595,3
23,3,,
19,1,,
16,1,,
