Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,49,0.4141872433454553,48
55,146,0.06146473071865431,138
54,77,0.03907745882876313,57
53,36,0.04296219262324106,30
52,22,0.11189745111209912,19
51,117,0.03690105598273688,111
50,85,0.044974379487623825,71
49,145,0.054001106132183195,107
48,146,0.08445487239933672,84
47,204,0.05012567256583083,189
46,180,0.04794674468823102,150
45,49,0.05811876053464868,33
44,1220,0.03450490920182376,1215
43,139,0.03027659210692452,11
42,608,,
41,71,0.007178695885440567,4
40,1,,
39,2,,
38,2,0.48035075505738245,1
37,6,,
36,24,0.05388004542436206,23
35,8,0.10337105539467001,2
34,12,0.4115408047232541,8
33,17,0.6116893251350684,4
32,12,0.44329894522688196,10
31,54,0.032070602007378844,29
30,7,,
29,9,0.14930922099675942,6
28,4,,
27,12,0.22803394349753353,4
26,7,,
25,67,0.2527537727940904,3
23,3,,
19,1,,
16,1,,
