Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,52,,
55,147,0.36255702590419175,143
54,72,0.37156688096618495,57
53,34,0.44149224237136764,28
52,28,0.5452878628962331,23
51,119,0.37458201754963166,117
50,76,0.40593936286312676,68
49,145,0.347598975367238,104
48,152,0.35185950740925936,87
47,212,0.36584078975664275,200
46,161,0.36453086719355476,142
45,59,0.3333398743116397,35
44,1192,0.3565301385527408,1189
43,165,0.3754356560370238,11
42,611,,
41,68,0.3699928947035792,4
40,1,,
39,2,,
38,2,0.7302920795826513,1
37,7,,
36,27,,
35,3,0.41526918145108227,1
34,13,0.4106650948090895,8
33,16,0.9785433138474686,3
32,12,0.5267116275950973,9
31,55,0.2716882755005061,29
30,7,,
29,9,0.4135931163868291,6
28,4,,
27,13,0.19512600225607035,5
26,6,,
25,67,0.2303785279082766,3
23,3,,
19,1,,
16,1,,
