Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,54,0.2815611074852729,53
55,147,0.03396116851183858,144
54,71,0.0818563480356355,57
53,35,0.01806646095010741,29
52,28,0.027113822475797255,24
51,108,0.008390589726986948,107
50,91,725042.765532178,73
49,135,3.240495092719784,99
48,159,11408.488701844793,89
47,196,71.72787543656683,186
46,176,150.24443002268086,143
45,59,1008.2337039979834,36
44,1210,108.99837515597642,1208
43,145,870.5463433043221,10
42,608,50.1342659212779,607
41,72,564.261785830308,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,262.43965464755655,2
34,13,247.06167004788708,9
33,16,1760.1288732569867,4
32,11,883.9401712258797,9
31,56,119.61097783524728,30
30,6,,
29,8,68.3999604071061,5
28,5,,
27,13,36.87325608104167,5
26,6,,
25,66,1677.558978079172,2
24,1,,
23,3,,
19,1,,
16,1,,
