Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,53,,
55,149,0.41886806147001476,146
54,68,0.3915116933098574,56
53,34,0.4828781730082711,27
52,30,0.5088877677292243,24
51,109,0.38378052085317954,108
50,94,0.4565866630411322,77
49,136,0.36053906531553587,104
48,148,0.36314483129222874,83
47,206,0.37149911400740004,190
46,176,0.3688133779953497,147
45,54,0.31819695064604103,35
44,1214,0.34316807629931556,1211
43,143,0.34884173061468143,11
42,593,,
41,86,0.3336002079832552,4
40,1,,
39,3,,
38,1,,
37,6,,
36,29,0.3517050922323485,28
35,3,0.37007390038349164,2
34,13,0.4226597437451387,9
33,16,0.7960652571669313,4
32,11,0.45848510592245323,9
31,56,0.2190124279951868,30
30,6,,
29,9,0.3739512112817321,6
28,4,,
27,12,0.2741797712626697,4
26,7,,
25,65,0.11886155753209793,1
24,2,,
23,3,,
19,1,,
16,1,,
