Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,49,0.4533333333333333,48
55,146,0.3145517981749865,138
54,73,0.362587714884696,53
53,39,0.39992111490042526,29
52,29,0.5611615907384797,25
51,113,,
50,86,0.3466885953625609,74
49,136,0.4498696483259354,101
48,156,0.7696394670772054,88
47,200,0.446716085053436,189
46,175,0.4962855053450573,145
45,55,0.4119114417208187,34
44,1217,0.2585144788235858,1213
43,140,0.26220683068006273,10
42,610,0.2622378470832998,609
41,69,0.2934704486894517,3
40,1,,
39,4,0.22679650441730037,3
38,1,,
37,6,,
36,29,0.36285055257377496,28
35,3,0.2874139448932056,2
34,13,0.699693549303255,9
33,16,1.4680308364476236,4
32,10,0.24250000000000005,8
31,55,0.25896075470537977,28
30,8,,
29,9,0.18791442014303084,6
28,4,,
27,13,0.48241210361047604,5
26,6,,
25,66,0.3232830146944384,2
24,1,,
23,3,,
19,1,,
16,1,,
