Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,51,0.4456,50
55,149,0.33919012959276257,143
54,71,0.33288397320825297,56
53,39,0.3836877777350141,32
52,24,0.3785123096538985,23
51,115,0.20959564933582917,113
50,89,0.19654337155350282,77
49,139,0.22288316765088462,107
48,152,0.2546220065271435,90
47,200,0.2947320686106511,191
46,170,0.2812864104820855,142
45,55,0.22154759576833633,31
44,1195,0.1485472446709005,1188
43,165,0.21347685144788917,10
42,617,0.16900129904764077,616
41,63,0.06141510720820731,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,0.33404537861291417,2
34,13,0.5002263235727541,9
33,15,0.7191775222165907,3
32,12,0.5482744245728767,9
31,55,0.15808095227915314,29
30,7,,
29,8,0.2431814153669505,5
28,5,,
27,13,0.35732506360244587,5
26,6,,
25,67,0.19887250193856298,3
23,3,,
19,1,,
16,1,,
