Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,52,0.2507843137254902,51
55,148,0.06391608391608389,143
54,73,0.01913793103448272,58
53,34,0.0375862068965517,29
52,27,0.14739130434782616,23
51,115,0.030265486725663746,113
50,85,0.010643835205479471,73
49,148,0.017535714285714297,112
48,142,0.04295294105882353,85
47,203,0.010370370582010615,189
46,177,0.014081632380952447,147
45,54,0.004942856285714349,35
44,1198,0.002100418410041946,1195
43,158,2.220446049250313e-16,10
42,603,0.0012292358803989213,602
41,77,0.0,4
40,1,,
39,3,,
38,1,,
37,6,,
36,29,2.6962559169468085e-16,28
35,3,1.1102230246251565e-16,2
34,12,0.015000000000000006,8
33,17,0.23500000000000026,4
32,12,0.04000000000000026,10
31,55,2.8495724298712354e-16,30
30,6,,
29,9,7.031412489292658e-16,6
28,4,,
27,12,1.6653345369377348e-16,4
26,7,,
25,66,5.551115123125783e-17,2
24,1,,
23,3,,
19,1,,
16,1,,
