Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,46,0.39764432099930397,45
55,150,0.04218302406824973,139
54,72,0.15898872084812402,53
53,40,0.07255969510200276,30
52,26,0.18296202091515343,23
51,114,0.052447205000581955,112
50,91,9014104.056280717,78
49,130,14.317449826949776,99
48,156,1.014026723353681,86
47,204,4.351948607401245,191
46,177,0.6011777719355783,149
45,48,0.6281772348081398,31
44,1226,0.3896106963105817,1219
43,134,0.5308910245663269,10
42,608,0.5892961686666631,607
41,72,0.3430213883510983,4
39,3,0.3032160030184331,2
38,2,0.17874498428238228,1
37,7,,
36,27,,
35,3,0.2416348721700039,1
34,14,0.6812471688046717,9
33,15,1.600633765677555,3
32,13,0.9153441179735157,10
31,50,0.2730310753778591,25
30,11,,
29,8,0.2836855924438996,5
28,5,,
27,13,0.7443790694207334,5
26,6,,
25,67,0.19454901572107716,3
23,3,,
19,1,,
16,1,,
