Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,52,0.61522539736846,51
55,150,0.18625553717805488,145
54,70,0.1828553360704011,57
53,36,0.1516156954003634,30
52,27,0.30584598039008454,24
51,114,0.15098727530922895,113
50,88,0.24597768864899608,76
49,137,0.16951066072934376,104
48,149,0.17098132351195255,84
47,208,0.11881925175815924,193
46,177,0.0976013300147128,151
45,52,0.15472063478477877,37
44,1194,0.08345119131551823,1193
43,161,0.09544284413526873,11
42,608,,
41,71,0.48828952317020924,4
40,1,,
39,3,,
38,1,,
37,6,,
36,23,0.12258431934474434,22
35,8,0.40805934068955785,1
34,14,0.42478607830164583,9
33,16,0.8942063799760146,4
32,11,0.36547861118913966,9
31,51,0.04821710230723727,25
30,11,,
29,8,0.19694343228319763,5
28,5,,
27,12,0.44502591202120434,4
26,7,,
25,67,0.35408405466463205,3
23,3,,
19,1,,
16,1,,
