Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,53,,
55,140,2.0413516781246493e-15,137
54,80,1.450816867772874e-15,59
53,35,3.336041120768817e-15,31
52,25,1.4971116134238797e-14,23
51,114,6.2940724061227065e-15,112
50,85,0.00013807527970707988,72
49,142,0.0008371538612434417,105
48,150,0.001978616129885019,86
47,200,0.017090550430389696,187
46,188,0.1979290053740114,156
45,44,2.5505560855288247,34
44,1199,5.899959428400823,1195
43,159,17.219870553720053,11
42,614,,
41,65,1123.3797706345615,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,0.9683609106366639,25
35,5,2.995963289348948,1
34,13,11.15610185006095,8
33,15,0.9373627795363624,2
32,12,43.268723261693204,8
31,53,8.198144788690191,26
30,10,,
29,9,12.074803264296667,6
28,4,,
27,13,105.2556547854293,5
26,6,,
25,66,19.325779841052864,2
24,1,,
23,3,,
19,1,,
16,1,,
