Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,50,,
55,152,0.055684931506849285,146
54,66,0.020740740740740733,54
53,39,0.03166666666666663,30
52,26,0.1352173913043479,23
51,103,0.015643564356435664,101
50,99,0.011240000399999998,75
49,136,0.02033333333333337,102
48,156,0.03717977516853937,89
47,196,0.011521505322580684,186
46,189,0.007051282051282087,156
45,43,0.008606059393939436,33
44,1210,0.0031867219917013326,1205
43,147,0.0022222222222223597,9
42,611,0.001740558292282675,609
41,70,0.0,4
40,1,,
39,2,,
38,2,4.440892098500626e-16,1
37,7,,
36,26,,
35,5,1.1102230246251565e-16,2
34,13,0.0004444488888888931,9
33,16,0.23500000000000026,4
32,12,0.04500000000000032,10
31,51,2.9463611038129153e-16,26
30,10,,
29,9,7.031412489292658e-16,6
28,4,,
27,12,3.3306690738754696e-16,4
26,7,,
25,67,3.3306690738754696e-16,3
23,3,,
19,1,,
16,1,,
