Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,54,,
55,143,0.18179766574579026,141
54,72,0.15631258693117625,55
53,39,0.1597251361255013,31
52,24,0.22932425260791792,22
51,118,0.1200237165203463,115
50,80,0.20584210225446778,70
49,141,0.14779447720725464,102
48,154,0.2451476462448063,87
47,196,0.11761094844790394,184
46,181,0.09658717884083612,146
45,56,0.14030819322988924,36
44,1215,0.09132880259534884,1213
43,139,0.07394427950231323,9
42,607,0.0918610669103099,605
41,74,0.45568156205132193,4
40,1,,
39,3,,
38,1,,
37,5,,
36,27,0.06787996731346109,25
35,6,0.07315948233735398,2
34,11,0.40392392022389295,7
33,18,0.4827089769901715,4
32,11,0.39318900257840106,9
31,54,0.047578798347166586,28
30,8,,
29,9,0.0905806298404508,6
28,4,,
27,13,0.3509602257365259,5
26,6,,
25,67,0.25294803273577654,3
23,3,,
19,1,,
16,1,,
