Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,47,,
55,147,0.12589855072463768,138
54,78,0.12422758620689654,58
53,30,0.11281599999999997,25
52,32,0.19976666666666668,24
51,117,0.0910383448275862,116
50,84,0.13757898706666663,75
49,137,0.149486679631068,103
48,154,0.21586863634090908,88
47,204,0.1025103155523316,193
46,170,0.07810122216111111,144
45,52,0.07262378676586666,30
44,1220,0.06332015577145876,1212
43,140,0.05663999999999998,9
42,610,0.07433378895125789,608
41,70,0.018533333333333218,3
40,2,0.03816000239999995,1
39,3,,
38,1,,
37,6,,
36,27,0.07798769230769231,26
35,5,0.08499999999999996,2
34,13,0.38603911123555545,9
33,16,0.497004,4
32,12,0.658008,10
31,50,0.029386240000000008,25
30,11,,
29,8,0.18272000000000002,5
28,5,,
27,13,0.2832000000000001,5
26,6,,
25,67,0.2232213333333334,3
23,3,,
19,1,,
16,1,,
