Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,52,0.4380392156862746,51
55,141,0.07647058823529412,136
54,83,0.020655737704918,61
53,33,0.05193548387096772,31
52,24,0.14318181818181824,22
51,118,0.028173913043478282,115
50,83,0.013739726438356192,73
49,143,0.026990654205607506,107
48,148,0.04190697720930239,86
47,202,0.012978835925925952,189
46,178,0.0076756756756757435,148
45,52,0.010882352941176556,34
44,1214,0.0026363636363637413,1210
43,144,2.220446049250313e-16,11
42,596,,
41,83,0.0,4
40,1,,
39,2,,
38,1,,
37,8,3.0134624954111393e-16,7
36,25,,
35,5,1.1102230246251565e-16,1
34,14,0.0004444488888888931,9
33,16,0.28750000000000026,4
32,11,0.053333333333333614,9
31,55,0.002758620689655462,29
30,7,,
29,9,7.031412489292658e-16,6
28,4,,
27,12,1.6653345369377348e-16,4
26,7,,
25,67,3.3306690738754696e-16,3
23,3,,
19,1,,
16,1,,
